tip_hiše,lokacija,cena,površina,število_spalnic,število_kopalnic,agencija
House,Arvert (17),1058400,217,4,1,By Diva
House with pool,Lalbenque (46),494700,200,3,coerce,By Diva
House,Ainharp (64),993600,486,5,coerce,By Diva
House with terrace,La Roche-sur-Yon (85),594000,240,5,coerce,By Diva
House with pool and terrace,Lourdes (65),745200,365,4,coerce,By Diva
House with terrace,Coulommiers (77),486000,240,6,1,By Diva
House,La Rochelle (17),673700,700,14,coerce,By Diva
House with pool,Figeac (46),1069200,400,6,coerce,By Diva
House with terrace,Nangis (77),680400,265,6,1,By Diva
House with terrace,Melun (77),966600,280,6,coerce,By Diva
House with terrace,Rochefort (17),632000,310,3,coerce,By Diva
House with pool and terrace,Thézan-lès-Béziers (34),701500,183,4,coerce,By Sophie Bellier
House with terrace,Bourron-Marlotte (77),653400,160,4,coerce,By Agence St Hubert
House,Vallangoujard (95),745200,400,8,coerce,By Loreto Immobilier
House,Saint-Emilion (33),1026000,267,7,coerce,By Sophie Chassagne Immobilier
House with pool and terrace,Salon-de-Provence (13),646900,127,5,coerce,By Iad France
Longère,Cleyrac (33),592900,350,7,coerce,By Iad France
House with pool and terrace,Nimes (30),642600,300,7,coerce,By Iad France
House with pool and terrace,Vigneux-de-Bretagne (44),1077300,283,7,coerce,By Iad France
House,Pont-Saint-Martin (44),646900,164,4,coerce,By Iad France
House with pool and terrace,Châteauneuf-Grasse (06),918000,149,3,coerce,By Iad France
House,Le Thor (84),680400,220,7,coerce,By G Immobilier De Prestige
Villa with terrace,Lourmarin (84),804600,122,4,coerce,By Sanyas Frederic
Mas,Villefort (48),538900,115,4,1,By Swixim International Uzès - Côté Soleil Immobilier
House with pool and terrace,Saint-Sever (40),858600,400,6,1,By Terres &amp; Ocean Immobilier – Real Estate (hossegor)
House,Saint-Léger-en-Yvelines (78),912600,254,5,1,By Agence Duchesse Anne
House with terrace,Gambais (78),621000,165,4,1,By Rch Immobilier
House with pool and terrace,Aix-en-Provence (13),1074600,142,5,1,By Du Studio Au Chateau
Villa with pool and garden,Fayence (83),680400,177,4,coerce,By Leggett Immobilier Paca
House with pool and terrace,Tournus (71),969900,344,8,coerce,By 3d Immobilier
House,Chaussin (39),381300,295,7,1,By 3d Immobilier
Villa,Nattages (01),707400,143,4,1,By 3d Immobilier
House with terrace,Rosel (14),808900,317,6,1,By Axo L&#39;immobilier Actif
House with terrace,Falaise (14),702000,300,6,1,By Axo L&#39;immobilier Actif
Villa,Capbreton (40),945000,145,5,coerce,By Reseau Immo-diffusion
House,Wasquehal (59),807900,188,5,coerce,By Serge Descatoire Immobilier
Villa with terrace,Signes (83),588100,124,4,coerce,By Cap Immo Var
Villa with pool and terrace,Signes (83),804400,153,5,1,By Cap Immo Var
House with pool and terrace,Uzès (30),550800,129,4,1,By Botella - L&#39;immobilier Depuis 1989
House with pool and terrace,Barjac (30),426600,120,3,1,By Botella - L&#39;immobilier Depuis 1989
House with terrace,Fougeres (35),680400,289,6,coerce,By Blot Immobilier 44
House,Lécousse (35),761400,288,4,coerce,By Blot Immobilier 44
House with pool and terrace,Uzès (30),367200,114,3,1,By Transaction Sud Immobilier
House with garden and terrace,Rochefort-en-Terre (56),737100,230,5,1,By Bretagne Sud Sotheby&#39;s International Realty Vannes
House,Castelmaurou (31),533500,158,4,coerce,By Megagence
